id,y_true,y_pred,absolute_error
1765830585.086879,0,0.0,0.0
1765830595.09238,0,0.0,0.0
1765830605.09713,1,1.0,0.0
1765830608.677769,0,0.0,0.0
1765830615.103331,0,0.0,0.0
1765830618.683683,1,1.0,0.0
1765830625.109882,0,0.0,0.0
1765830628.689078,0,0.0,0.0
1765830635.114736,0,0.0,0.0
1765830638.693536,1,1.0,0.0
1765830645.121099,0,0.0,0.0
1765830648.698954,0,0.0,0.0
1765830655.126658,0,0.0,0.0
1765830658.704579,1,1.0,0.0
1765830665.131584,1,1.0,0.0
1765830668.708662,0,0.0,0.0
1765830675.137162,1,1.0,0.0
1765830678.71427,0,0.0,0.0
1765830685.142767,1,1.0,0.0
1765830688.720532,0,0.0,0.0
1765830695.147578,0,0.0,0.0
1765830698.725808,0,0.0,0.0
1765830705.153282,0,0.0,0.0
1765830708.731451,1,1.0,0.0
1765830715.15907,0,0.0,0.0
1765830718.736906,0,0.0,0.0
1765830725.163764,1,1.0,0.0
1765830728.741523,1,1.0,0.0
1765830735.169361,0,0.0,0.0
1765830738.74702,1,1.0,0.0
1765830745.175251,0,0.0,0.0
1765830748.752485,1,1.0,0.0
1765830755.179496,0,0.0,0.0
1765830758.756678,0,0.0,0.0
1765830765.185237,1,1.0,0.0
1765830768.762567,0,0.0,0.0
1765830775.190673,0,0.0,0.0
1765830778.768614,1,1.0,0.0
1765830785.195054,1,1.0,0.0
1765830788.773144,1,1.0,0.0
1765830795.200635,0,0.0,0.0
1765830798.778481,1,1.0,0.0
1765830805.206592,1,1.0,0.0
1765830808.784258,1,1.0,0.0
1765830815.211114,1,1.0,0.0
1765830818.788494,1,1.0,0.0
1765830825.216962,1,1.0,0.0
1765830828.794224,1,1.0,0.0
1765830835.222767,1,1.0,0.0
1765830838.79989,0,0.0,0.0
1765830845.228354,0,0.0,0.0
1765830848.806032,1,1.0,0.0
1765830855.233983,1,1.0,0.0
1765830858.812044,1,1.0,0.0
1765830865.239565,1,1.0,0.0
1765830868.817615,0,0.0,0.0
1765830875.244228,1,1.0,0.0
1765830878.822065,1,1.0,0.0
1765830885.249746,0,0.0,0.0
1765830888.827676,1,1.0,0.0
1765830895.255696,0,0.0,0.0
1765830898.833227,1,1.0,0.0
1765830905.260147,0,0.0,0.0
1765830908.837353,0,0.0,0.0
1765830915.265825,1,1.0,0.0
1765830918.843066,1,1.0,0.0
1765830925.271911,1,1.0,0.0
1765830928.848679,1,1.0,0.0
1765830935.277236,1,1.0,0.0
1765830938.853499,0,0.0,0.0
1765830945.282723,0,0.0,0.0
1765830948.859015,1,1.0,0.0
1765830955.288352,0,0.0,0.0
1765830958.864582,0,0.0,0.0
1765830965.29246,0,0.0,0.0
1765830968.868809,1,1.0,0.0
1765830975.29909,0,0.0,0.0
1765830978.875662,1,1.0,0.0
1765830985.30469,0,0.0,0.0
1765830988.881424,1,1.0,0.0
1765830995.30923,1,1.0,0.0
1765830998.885695,1,1.0,0.0
1765831005.314993,1,1.0,0.0
1765831008.892313,1,1.0,0.0
1765831015.320598,0,0.0,0.0
1765831018.897662,0,0.0,0.0
1765831025.325434,1,1.0,0.0
1765831028.902507,1,1.0,0.0
1765831035.331338,0,0.0,0.0
1765831038.908103,0,0.0,0.0
1765831045.337147,0,0.0,0.0
1765831048.913497,0,0.0,0.0
1765831055.342283,1,1.0,0.0
1765831058.918154,0,0.0,0.0
1765831065.347908,0,0.0,0.0
1765831068.923707,1,1.0,0.0
1765831075.353603,1,1.0,0.0
1765831078.929156,1,1.0,0.0
1765831085.357439,1,1.0,0.0
1765831088.933737,1,1.0,0.0
1765831095.363434,0,0.0,0.0
1765831098.939128,1,1.0,0.0
1765831105.369132,1,1.0,0.0
1765831108.944722,0,0.0,0.0
1765831115.373716,0,0.0,0.0
1765831118.949781,1,1.0,0.0
1765831125.379431,1,1.0,0.0
1765831128.955344,1,1.0,0.0
1765831135.386119,0,0.0,0.0
1765831138.961313,0,0.0,0.0
1765831145.390857,1,1.0,0.0
1765831148.965698,1,1.0,0.0
1765831155.396448,1,1.0,0.0
1765831158.971664,1,1.0,0.0
1765831165.401934,0,0.0,0.0
1765831168.977267,0,0.0,0.0
1765831175.40653,0,0.0,0.0
1765831178.981351,0,0.0,0.0
1765831185.412267,1,1.0,0.0
1765831188.987033,0,0.0,0.0
1765831195.418271,1,1.0,0.0
1765831198.992451,0,0.0,0.0
1765831205.422923,0,0.0,0.0
1765831208.996732,1,1.0,0.0
1765831215.428578,0,0.0,0.0
1765831219.002776,1,1.0,0.0
1765831225.434351,1,1.0,0.0
1765831229.008687,1,1.0,0.0
1765831235.439258,1,1.0,0.0
1765831239.013938,0,0.0,0.0
1765831245.444889,1,1.0,0.0
1765831249.019427,1,1.0,0.0
1765831255.450536,0,0.0,0.0
1765831259.024861,1,1.0,0.0
1765831265.45503,0,0.0,0.0
1765831269.029343,1,1.0,0.0
1765831275.460617,1,1.0,0.0
1765831279.03484,0,0.0,0.0
1765831285.466732,1,1.0,0.0
1765831289.040689,1,1.0,0.0
1765831295.471472,0,0.0,0.0
1765831299.044934,0,0.0,0.0
1765831305.47728,1,1.0,0.0
1765831309.050372,1,1.0,0.0
1765831315.48368,0,0.0,0.0
1765831319.055846,1,1.0,0.0
1765831325.488075,0,0.0,0.0
1765831329.06064,1,1.0,0.0
1765831335.493832,1,1.0,0.0
1765831339.066734,0,0.0,0.0
1765831345.499862,0,0.0,0.0
1765831349.073125,0,0.0,0.0
1765831355.504724,1,1.0,0.0
1765831359.077771,1,1.0,0.0
1765831365.510303,1,1.0,0.0
1765831369.083348,1,1.0,0.0
1765831375.516498,1,1.0,0.0
1765831379.088896,0,0.0,0.0
1765831385.521237,1,1.0,0.0
1765831389.093106,1,1.0,0.0
1765831395.52717,1,1.0,0.0
1765831399.098603,1,1.0,0.0
1765831405.533436,1,1.0,0.0
1765831409.104807,1,1.0,0.0
1765831415.538421,1,1.0,0.0
1765831419.109599,0,0.0,0.0
1765831425.544348,1,1.0,0.0
1765831429.115525,0,0.0,0.0
1765831435.550078,0,0.0,0.0
1765831439.121361,0,0.0,0.0
1765831445.554533,0,0.0,0.0
1765831449.125869,0,0.0,0.0
1765831455.560045,0,0.0,0.0
1765831459.131368,1,1.0,0.0
1765831465.565758,1,1.0,0.0
1765831469.137276,1,1.0,0.0
1765831475.570208,1,1.0,0.0
1765831479.141835,0,0.0,0.0
1765831485.575954,1,1.0,0.0
1765831489.148058,0,0.0,0.0
1765831495.582087,1,1.0,0.0
1765831499.153618,1,1.0,0.0
1765831505.586735,0,0.0,0.0
1765831509.160293,1,1.0,0.0
1765831515.59286,0,0.0,0.0
1765831519.16673,0,0.0,0.0
1765831525.599332,0,0.0,0.0
1765831529.172763,0,0.0,0.0
1765831535.604267,0,0.0,0.0
1765831539.17871,1,1.0,0.0
1765831545.610333,1,1.0,0.0
1765831549.184072,0,0.0,0.0
1765831555.616712,1,1.0,0.0
1765831559.189461,0,0.0,0.0
1765831565.620904,1,1.0,0.0
1765831569.193496,1,1.0,0.0
1765831575.626526,0,0.0,0.0
1765831579.199133,1,1.0,0.0
1765831585.632783,0,0.0,0.0
1765831589.20505,1,1.0,0.0
1765831595.637928,1,1.0,0.0
1765831599.210097,0,0.0,0.0
1765831605.643878,0,0.0,0.0
1765831609.215632,0,0.0,0.0
1765831615.649438,0,0.0,0.0
1765831619.221416,0,0.0,0.0
1765831625.65415,0,0.0,0.0
1765831629.225665,0,0.0,0.0
1765831635.667907,1,1.0,0.0
1765831639.23113,0,0.0,0.0
1765831645.673754,1,1.0,0.0
1765831649.236892,0,0.0,0.0
1765831655.678473,1,1.0,0.0
1765831659.241373,0,0.0,0.0
1765831665.684265,0,0.0,0.0
1765831669.247004,0,0.0,0.0
1765831675.689747,1,1.0,0.0
1765831679.254201,1,1.0,0.0
1765831685.694839,1,1.0,0.0
1765831689.259052,0,0.0,0.0
1765831695.700954,0,0.0,0.0
1765831699.264653,0,0.0,0.0
1765831705.706795,0,0.0,0.0
1765831709.270426,0,0.0,0.0
1765831715.711056,0,0.0,0.0
1765831719.274301,1,1.0,0.0
1765831725.716897,1,1.0,0.0
1765831729.280213,1,1.0,0.0
1765831735.722536,1,1.0,0.0
1765831739.285845,1,1.0,0.0
1765831745.727475,1,1.0,0.0
1765831749.290664,1,1.0,0.0
1765831755.733418,1,1.0,0.0
1765831759.296121,1,1.0,0.0
1765831765.739045,0,0.0,0.0
1765831769.301822,0,0.0,0.0
1765831775.743998,1,1.0,0.0
1765831779.30688,1,1.0,0.0
1765831785.750108,0,0.0,0.0
1765831789.312482,1,1.0,0.0
1765831795.755814,0,0.0,0.0
1765831799.318033,1,1.0,0.0
1765831805.761022,0,0.0,0.0
1765831809.322614,1,1.0,0.0
1765831815.768256,1,1.0,0.0
1765831819.32879,1,1.0,0.0
1765831825.774014,1,1.0,0.0
1765831829.334946,1,1.0,0.0
1765831835.779677,0,0.0,0.0
1765831839.339535,1,1.0,0.0
1765831845.785354,1,1.0,0.0
1765831849.345188,0,0.0,0.0
1765831855.790874,0,0.0,0.0
1765831859.350706,0,0.0,0.0
1765831865.795181,0,0.0,0.0
1765831869.354732,1,1.0,0.0
1765831875.800788,1,1.0,0.0
1765831879.360168,1,1.0,0.0
1765831885.806825,0,0.0,0.0
1765831889.365663,1,1.0,0.0
1765831895.811315,1,1.0,0.0
1765831899.370114,1,1.0,0.0
1765831905.81766,0,0.0,0.0
1765831909.376362,1,1.0,0.0
1765831915.823129,1,1.0,0.0
1765831919.382017,0,0.0,0.0
1765831925.828,1,1.0,0.0
1765831929.386776,1,1.0,0.0
1765831935.833987,0,0.0,0.0
1765831939.392381,0,0.0,0.0
1765831945.839983,0,0.0,0.0
1765831949.39783,1,1.0,0.0
1765831955.844641,1,1.0,0.0
1765831959.402378,1,1.0,0.0
1765831965.850206,1,1.0,0.0
1765831969.407909,0,0.0,0.0
1765831975.855727,0,0.0,0.0
1765831979.413474,1,1.0,0.0
1765831985.859881,1,1.0,0.0
1765831989.417493,0,0.0,0.0
1765831995.865513,1,1.0,0.0
1765831999.423746,1,1.0,0.0
1765832005.871153,1,1.0,0.0
1765832009.429778,0,0.0,0.0
1765832015.877287,0,0.0,0.0
1765832019.434648,0,0.0,0.0
1765832025.883465,1,1.0,0.0
1765832029.440198,0,0.0,0.0
1765832035.889349,0,0.0,0.0
1765832039.446312,1,1.0,0.0
1765832045.894523,1,1.0,0.0
1765832049.450924,0,0.0,0.0
1765832055.900138,1,1.0,0.0
1765832059.456265,0,0.0,0.0
1765832065.905845,1,1.0,0.0
1765832069.461824,1,1.0,0.0
1765832075.910533,0,0.0,0.0
1765832079.46662,0,0.0,0.0
1765832085.916314,0,0.0,0.0
1765832089.472187,1,1.0,0.0
1765832095.922163,1,1.0,0.0
1765832099.478262,1,1.0,0.0
1765832105.926797,1,1.0,0.0
1765832109.482532,0,0.0,0.0
1765832115.932303,0,0.0,0.0
1765832119.488062,0,0.0,0.0
1765832125.93818,1,1.0,0.0
1765832129.493546,1,1.0,0.0
1765832135.942817,0,0.0,0.0
1765832139.498028,0,0.0,0.0
1765832145.950011,0,0.0,0.0
1765832149.503517,1,1.0,0.0
1765832155.955874,1,1.0,0.0
1765832159.509212,0,0.0,0.0
1765832166.239796,1,1.0,0.0
1765832169.51364,0,0.0,0.0
1765832176.246635,1,1.0,0.0
1765832179.519947,0,0.0,0.0
1765832186.252688,0,0.0,0.0
1765832189.526047,1,1.0,0.0
1765832196.257003,1,1.0,0.0
